job_name,account,jqueue,mail,node_nbr,core_per_node_nbr,mem_per_core,runtime_limit,instance_config,experiment_config,vis_config
test_run_b12-1,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-1.json,experiment_config_2h.json,vis_config1.json
test_run_b12-2,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-2.json,experiment_config_2h.json,vis_config1.json
test_run_b12-3,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-3.json,experiment_config_2h.json,vis_config1.json
test_run_b12-4,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-4.json,experiment_config_2h.json,vis_config1.json
test_run_b12-5,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-5.json,experiment_config_2h.json,vis_config1.json
test_run_b12-6,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-6.json,experiment_config_2h.json,vis_config1.json
test_run_b12-7,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-7.json,experiment_config_2h.json,vis_config1.json
test_run_b12-8,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-8.json,experiment_config_2h.json,vis_config1.json
test_run_b12-9,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-9.json,experiment_config_2h.json,vis_config1.json
test_run_b12-10,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b12-10.json,experiment_config_2h.json,vis_config1.json
test_run_b24-1,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-1.json,experiment_config_2h.json,vis_config1.json
test_run_b24-2,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-2.json,experiment_config_2h.json,vis_config1.json
test_run_b24-3,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-3.json,experiment_config_2h.json,vis_config1.json
test_run_b24-4,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-4.json,experiment_config_2h.json,vis_config1.json
test_run_b24-5,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-5.json,experiment_config_2h.json,vis_config1.json
test_run_b24-6,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-6.json,experiment_config_2h.json,vis_config1.json
test_run_b24-7,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-7.json,experiment_config_2h.json,vis_config1.json
test_run_b24-8,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-8.json,experiment_config_2h.json,vis_config1.json
test_run_b24-9,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-9.json,experiment_config_2h.json,vis_config1.json
test_run_b24-10,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b24-10.json,experiment_config_2h.json,vis_config1.json
test_run_b36-1,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-1.json,experiment_config_2h.json,vis_config1.json
test_run_b36-2,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-2.json,experiment_config_2h.json,vis_config1.json
test_run_b36-3,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-3.json,experiment_config_2h.json,vis_config1.json
test_run_b36-4,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-4.json,experiment_config_2h.json,vis_config1.json
test_run_b36-5,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-5.json,experiment_config_2h.json,vis_config1.json
test_run_b36-6,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-6.json,experiment_config_2h.json,vis_config1.json
test_run_b36-7,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-7.json,experiment_config_2h.json,vis_config1.json
test_run_b36-8,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-8.json,experiment_config_2h.json,vis_config1.json
test_run_b36-9,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-9.json,experiment_config_2h.json,vis_config1.json
test_run_b36-10,gts-ae58,inferno,rpichayavet3@gatech.edu,1,24,4,7200,instance_config_b36-10.json,experiment_config_2h.json,vis_config1.json
